wavelength / nm,fluorescence / counts
556.54999999999995,33530.582999999999
556.67999999999995,33552.582999999999
556.79999999999995,33634.582999999999
556.91999999999996,33696.332999999999
557.04999999999995,33764.082999999999
557.16999999999996,33774.082999999999
557.28999999999996,33747.082999999999
557.40999999999997,33773.332999999999
557.53999999999996,33820.082999999999
557.65999999999997,33940.582999999999
557.77999999999997,34067.832999999999
557.90999999999997,34034.832999999999
558.02999999999997,33959.832999999999
558.14999999999998,33905.832999999999
558.26999999999998,33753.582999999999
558.39999999999998,33719.582999999999
558.51999999999998,33847.082999999999
558.63999999999999,33851.582999999999
558.75999999999999,33774.582999999999
558.88999999999999,33778.832999999999
559.00999999999999,33780.332999999999
559.13,33708.832999999999
559.25999999999999,33753.582999999999
559.38,33837.832999999999
559.5,33849.832999999999
559.62,33870.082999999999
559.75,33765.832999999999
559.87,33733.832999999999
559.99000000000001,33856.582999999999
560.11000000000001,33784.082999999999
560.24000000000001,33654.832999999999
560.36000000000001,33638.332999999999
560.48000000000002,33611.332999999999
560.60000000000002,33605.082999999999
560.73000000000002,33553.082999999999
560.85000000000002,33515.832999999999
560.97000000000003,33572.582999999999
561.09000000000003,33545.082999999999
561.22000000000003,33487.082999999999
561.34000000000003,33472.832999999999
561.46000000000004,33398.332999999999
561.58000000000004,33297.082999999999
561.70000000000005,33269.082999999999
561.83000000000004,33262.582999999999
561.95000000000005,33229.582999999999
562.07000000000005,33192.332999999999
562.19000000000005,33161.832999999999
562.32000000000005,33115.332999999999
562.44000000000005,32991.832999999999
562.55999999999995,32892.832999999999
562.67999999999995,32882.832999999999
562.79999999999995,32838.582999999999
562.92999999999995,32804.832999999999
563.04999999999995,32796.082999999999
563.16999999999996,32726.583000000002
563.28999999999996,32631.083000000002
563.40999999999997,32555.583000000002
563.53999999999996,32559.333000000002
563.65999999999997,32547.833000000002
563.77999999999997,32465.333000000002
563.89999999999998,32445.583000000002
564.01999999999998,32405.583000000002
564.14999999999998,32262.083000000002
564.26999999999998,32092.833000000002
564.38999999999999,31978.083000000002
564.50999999999999,32002.583000000002
564.63,32036.333000000002
564.75999999999999,31929.583000000002
564.88,31796.083000000002
565.0,31725.083000000002
565.12,31676.333000000002
565.24000000000001,31656.833000000002
565.36000000000001,31676.333000000002
565.49000000000001,31567.083000000002
565.61000000000001,31387.833000000002
565.73000000000002,31271.583000000002
565.85000000000002,31061.333000000002
565.97000000000003,30753.583000000002
566.09000000000003,30175.833000000002
566.22000000000003,29221.583000000002
566.34000000000003,28306.583000000002
566.46000000000004,27784.583000000002
566.58000000000004,27882.583000000002
566.70000000000005,28591.083000000002
566.82000000000005,29517.083000000002
566.95000000000005,30039.583000000002
567.07000000000005,29888.333000000002
567.19000000000005,29574.333000000002
567.30999999999995,29372.333000000002
567.42999999999995,29221.333000000002
567.54999999999995,29267.333000000002
567.67999999999995,29507.583000000002
567.79999999999995,29709.583000000002
567.91999999999996,29659.583000000002
568.03999999999996,29507.083000000002
568.15999999999997,29440.083000000002
568.27999999999997,29365.833000000002
568.39999999999998,29306.583000000002
568.51999999999998,29266.083000000002
568.64999999999998,29129.083000000002
568.76999999999998,28942.083000000002
568.88999999999999,28814.583000000002
569.00999999999999,28726.833000000002
569.13,28611.083000000002
569.25,28503.833000000002
569.37,28449.833000000002
569.49000000000001,28443.333000000002
569.62,28370.333000000002
569.74000000000001,28259.583000000002
569.86000000000001,28215.583000000002
569.98000000000002,28079.083000000002
570.10000000000002,27911.833000000002
570.22000000000003,27842.833000000002
570.34000000000003,27766.083000000002
570.46000000000004,27667.083000000002
570.58000000000004,27508.083000000002
570.71000000000004,27302.833000000002
570.83000000000004,27132.333000000002
570.95000000000005,27017.583000000002
571.07000000000005,26963.333000000002
571.19000000000005,26910.833000000002
571.30999999999995,26852.083000000002
571.42999999999995,26775.333000000002
571.54999999999995,26664.833000000002
571.66999999999996,26561.083000000002
571.78999999999996,26461.333000000002
571.91999999999996,26306.583000000002
572.03999999999996,26139.833000000002
572.15999999999997,26062.583000000002
572.27999999999997,26043.333000000002
572.39999999999998,25980.083000000002
572.51999999999998,25828.083000000002
572.63999999999999,25527.083000000002
572.75999999999999,24892.583000000002
572.88,24033.583000000002
573.0,23275.332999999999
573.12,22697.082999999999
573.24000000000001,22504.082999999999
573.36000000000001,22864.582999999999
573.48000000000002,23543.582999999999
573.61000000000001,24166.332999999999
573.73000000000002,24425.332999999999
573.85000000000002,24355.332999999999
573.97000000000003,24200.832999999999
574.09000000000003,24049.832999999999
574.21000000000004,23925.832999999999
